@RELATION chess_result
@ATTRIBUTE wit_rating NUMERIC
@ATTRIBUTE wit_stand NUMERIC
@ATTRIBUTE wit_resultaat_1 NUMERIC
@ATTRIBUTE wit_rating_1 NUMERIC
@ATTRIBUTE wit_resultaat_2 NUMERIC
@ATTRIBUTE wit_rating_2 NUMERIC
@ATTRIBUTE wit_resultaat_3 NUMERIC
@ATTRIBUTE wit_rating_3 NUMERIC
@ATTRIBUTE wit_resultaat_4 NUMERIC
@ATTRIBUTE wit_rating_4 NUMERIC
@ATTRIBUTE zwart_rating NUMERIC
@ATTRIBUTE zwart_stand NUMERIC
@ATTRIBUTE zwart_resultaat_1 NUMERIC
@ATTRIBUTE zwart_rating_1 NUMERIC
@ATTRIBUTE zwart_resultaat_2 NUMERIC
@ATTRIBUTE zwart_rating_2 NUMERIC
@ATTRIBUTE zwart_resultaat_3 NUMERIC
@ATTRIBUTE zwart_rating_3 NUMERIC
@ATTRIBUTE zwart_resultaat_4 NUMERIC
@ATTRIBUTE zwart_rating_4 NUMERIC
@ATTRIBUTE resultaat {wit,remise,zwart}


@DATA
0258,038,0.0,0267,0.0,0249,0.5,0173,0.5,0256,0249,038,0.0,0173,0.0,0258,1.0,0256,0.0,0230,?
0173,033,0.0,0249,0.0,0274,0.5,0258,0.0,0236,0274,037,0.0,0208,0.0,0173,1.0,0230,1.0,0258,?
0267,034,0.0,0258,0.0,0208,0.0,0258,1.0,0205,0208,032,0.0,0274,0.0,0267,1.0,0159,0.0,0657,?
0267,034,0.0,0258,0.0,0208,0.0,0258,1.0,0205,0258,038,0.0,0267,0.0,0249,0.5,0173,0.5,0256,?
0249,038,0.0,0173,0.0,0258,1.0,0256,0.0,0230,0173,033,0.0,0249,0.0,0274,0.5,0258,0.0,0236,?
0274,037,0.0,0208,0.0,0173,1.0,0230,1.0,0258,0208,032,0.0,0274,0.0,0267,1.0,0159,0.0,0657,?
0205,032,0.0,0193,0.0,0657,0.5,0236,0.0,0267,0212,030,0.0,0185,0.0,0205,0.0,0123,1.0,0208,?
0193,028,0.0,0205,0.0,0185,0.0,0,1.0,0167,0185,028,0.0,0657,0.0,0193,1.0,0170,1.0,0119,?
0178,028,0.0,0123,0.0,0144,0.0,0251,1.0,0159,0144,024,0.0,0170,0.0,0178,0.0,0201,0.0,0251,?
0123,024,0.0,0178,0.0,0161,1.0,0657,0.0,0170,0161,024,0.0,0201,0.0,0123,1.0,0119,0.0,0201,?
0201,026,0.0,0161,0.0,0170,1.0,0144,1.0,0161,0170,025,0.0,0144,0.0,0201,0.0,0185,1.0,0123,?
0205,032,0.0,0193,0.0,0657,0.5,0236,0.0,0267,0193,028,0.0,0205,0.0,0185,0.0,0,1.0,0167,?
0212,030,0.0,0185,0.0,0205,0.0,0123,1.0,0208,0185,028,0.0,0657,0.0,0193,1.0,0170,1.0,0119,?
0178,028,0.0,0123,0.0,0144,0.0,0251,1.0,0159,0123,024,0.0,0178,0.0,0161,1.0,0657,0.0,0170,?
0170,025,0.0,0144,0.0,0201,0.0,0185,1.0,0123,0144,024,0.0,0170,0.0,0178,0.0,0201,0.0,0251,?
0161,024,0.0,0201,0.0,0123,1.0,0119,0.0,0201,0201,026,0.0,0161,0.0,0170,1.0,0144,1.0,0161,?
0167,023,0.0,0127,0.0,0613,1.0,0100,1.0,0130,0138,018,0.0,0135,0.0,0167,1.0,0128,0.5,0139,?
0127,017,0.0,0167,0.0,0130,1.0,0100,1.0,0100,0130,019,0.0,0128,0.0,0127,1.0,1402,0.0,0167,?
0112,015,0.0,0123,0.0,0128,0.0,0130,1.0,0100,0128,015,0.0,0130,0.0,1402,1.0,0139,0.0,0613,?
0135,013,0.0,0613,0.0,0100,1.0,0100,1.0,0100,0100,014,0.0,0100,0.0,0135,0.0,0167,0.0,1402,?
0123,010,0.0,1402,0.0,0100,0.0,0,0.0,0,0100,004,0.0,0100,0.0,0123,0.0,0135,0.0,0127,?
0127,017,0.0,0167,0.0,0130,1.0,0100,1.0,0100,0167,023,0.0,0127,0.0,0613,1.0,0100,1.0,0130,?
0128,015,0.0,0130,0.0,1402,1.0,0139,0.0,0613,0130,019,0.0,0128,0.0,0127,1.0,1402,0.0,0167,?
0138,018,0.0,0135,0.0,0167,1.0,0128,0.5,0139,0135,013,0.0,0613,0.0,0100,1.0,0100,1.0,0100,?
0112,015,0.0,0123,0.0,0128,0.0,0130,1.0,0100,0123,010,0.0,1402,0.0,0100,0.0,0,0.0,0,?
0100,004,0.0,0100,0.0,0123,0.0,0135,0.0,0127,0100,014,0.0,0100,0.0,0135,0.0,0167,0.0,1402,?
